type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,X,Y,quality
red,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,7892.00518160593,183754.416647687,5
red,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,-25639.459595608,203481.223438699,6
red,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,-35512.2355280444,234946.863825804,5
red,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,-35025.4009393648,234516.93560864,6
red,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,11944.934876221,190083.979411415,6
red,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,16175.9488620071,197418.949090303,7
red,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,5919.18601146365,191113.835230863,4
red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,-25136.9980561155,214503.952203326,5
red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,-15585.1934464435,263390.255749341,5
red,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,-40930.2410123261,221923.891451677,4
red,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,-14997.9082093742,209764.705530237,6
red,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,-25030.1825859646,264325.573176858,5
red,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,-42505.2580501751,232138.674774537,5
red,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,13147.9444999806,196938.19213951,4
red,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,-23268.6993580857,202915.22703426,5
red,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,-29746.0538523636,237814.907447599,5
red,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,-23681.5463277978,240787.006769886,5
red,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,-43687.8943939139,253681.140125855,5
red,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,-13548.7808706339,187370.392231523,5
red,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,-25534.5154682045,202549.29728893,6
red,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,-16142.3248456315,226322.248427695,6
red,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,-5078.20624684922,274251.433480209,5
red,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,-32346.2523601746,219460.557242915,6
red,7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,-20527.401542042,265916.7338438,5
red,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,-28412.0572008109,197998.573966453,5
red,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,-33113.1503831615,235183.275182529,5
red,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,-32108.8900719541,261949.102468601,5
red,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,-45936.4227537852,207037.338609708,6
red,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,-40097.5505158773,219617.534739661,5
red,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,-1004.94273672917,188263.446614991,5
red,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,-24858.3121762356,265996.121019005,7
red,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,-46878.611401334,205936.475985786,5
red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,4112.6796251013,186916.063225198,5
red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5613.78176379589,187451.103364214,5
red,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,11179.7113370237,189517.086849784,5
red,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,-37262.2051032131,195302.047613483,5
red,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,10629.619046466,192986.074946092,5
red,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,-22425.8913484792,237850.666398926,6
red,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,-22011.5434562429,261254.655019151,6
red,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,10448.8099898229,193240.818489213,5
red,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,11649.9463830583,202889.92520975,5
red,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,-2306.96224264788,202129.985100223,4
red,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,-11143.1353665156,271806.259268846,5
red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,-39272.848805392,201018.912836336,5
red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,-36147.5362098016,238029.704336986,5
red,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,-27170.3358820997,261675.464458427,6
red,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,-30234.7760159891,223221.768912353,5
red,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,-12426.6384123763,200891.975321743,4
red,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,-30737.7892095373,261731.237309153,5
red,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,-29764.5089833107,266251.559741747,5
red,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,-15334.2563411438,193740.91877277,5
red,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,-2586.09999421719,199865.573332744,5
red,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,-19321.3157085017,194298.529019869,6
red,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,-23154.2483872332,202051.852045124,5
red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,-34493.1419301233,223255.137967679,6
red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,-32634.6750447156,210871.004247143,5
red,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,-30282.1412500199,236178.114840644,5
red,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,-15528.4353985862,220385.499091912,5
red,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,-15190.8619336274,197718.134215318,5
red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,-13210.6770200489,213175.338029268,6
red,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,-22542.2273352929,225121.269205357,5
red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,-36206.2870521638,202859.037729357,5
red,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,-13692.2157426997,187139.400892229,4
red,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,-42385.1437012159,253361.308769985,6
red,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,11193.0995894967,192684.462469498,5
red,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,-10891.3849226936,199616.778143551,5
red,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,-20023.3281179137,192228.683188339,5
red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,-27733.1961670007,216048.878518082,6
red,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,19628.5967547441,203427.65587794,6
red,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,-49565.7306048958,224166.753392631,6
red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,-12523.7866039086,267649.792930064,6
red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,-14406.1514164539,268239.926952186,5
red,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,-22765.231463428,234727.394265098,5
red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,-38767.9893629359,202496.055860764,5
red,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,-28108.1477115105,259947.093441127,5
red,6.2,0.63,0.31,1.7,0.088,15,64,NaN,3.46,0.79,9.3,-41802.3573153278,208554.138639204,5
red,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,-29628.4530596994,261739.133558391,6
red,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,-44922.3678158662,228006.285525283,5
red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,-28628.8932981893,238130.530382588,5
red,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,-38086.616144438,230370.08531034,5
red,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,-51018.5120999808,219076.444931052,5
red,10.1,0.31,0.44,NaN,0.08,22,46,0.9988,3.32,0.67,9.7,-32266.1077569371,266435.189952331,6
red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,-22155.6203529476,267690.573504854,5
red,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,-42978.3254721938,235206.175818182,6
red,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,-25815.636066213,265186.885321156,6
red,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,-22629.9462797356,196328.969684177,6
red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-24632.5922827943,246410.996089811,6
red,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,-9684.63684233989,270517.046279059,6
red,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,-31731.2259989878,195942.448963763,5
red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-30228.6953796436,234180.090729068,6
red,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,-6758.91491789124,208001.054386847,5
red,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,-21408.3727887196,194354.959206025,5
red,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,-37833.7987817101,200562.071512402,5
red,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,-25089.8468365958,265951.487490796,5
red,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,-40762.7201307248,226508.237352439,5
red,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,-30768.4184853654,206226.087747049,5
red,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,-18407.4539419537,267946.029828543,7
red,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,10770.4834093677,195965.486413224,5
red,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,-43859.8231673306,231601.254051887,5
red,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,-45934.6569269115,218469.089637625,5
red,5.6,0.5,0.09,2.3,NaN,17,99,0.9937,3.63,0.63,13,15551.832464515,203007.342266975,5
red,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,-38477.7565883343,217280.642728756,6
red,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,-10657.2401291499,270254.414163391,6
red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,-19973.7623381195,202105.64632645,5
red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,-38407.3751879724,215050.405388322,5
red,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,-16878.8899117412,205687.238546008,5
red,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,-26587.5601646021,236218.127833567,5
red,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,-42221.4577471585,227969.878696809,5
red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,-24620.2614642973,201377.340326962,5
red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,-13365.6561835759,229549.923762984,5
red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,-19473.9894891581,218656.023950526,6
red,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,-24627.5243910159,264560.064190154,5
red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,-755.828463989943,215773.474884567,6
red,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,14748.7788731011,201803.20610819,5
red,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,-33921.0012303885,261999.149681819,5
red,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,-2390.1140111379,201505.359277509,5
red,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,-23681.7199458286,239376.369899888,6
red,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,-41623.3059766943,217241.763661258,6
red,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,-31724.5876881114,233050.052875541,6
red,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2.0,9.4,-17610.741735529,214875.703846129,4
red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,-36871.0807035388,230443.937664487,5
red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,-28904.2448236863,257913.707513327,5
red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,1222.9214017417,188601.369947064,5
red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,-17812.1429778261,197207.538771873,5
red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,-6878.73564472248,273576.717335773,5
red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,-29994.9092493473,191487.041030757,5
red,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,-10101.043190837,268190.249849068,5
red,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,-21222.3013269742,263990.308783115,6
red,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,8740.46298521905,204100.586775716,5
red,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,9948.95818450419,185845.808354063,4
red,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,-24887.1830441777,234499.903035762,6
red,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,-25339.2521950678,202704.306872747,5
red,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,8408.31104144401,191102.170774507,5
red,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,-26261.5239082645,264725.687954076,5
red,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,-13975.3006526884,238107.263616862,5
red,7.3,0.55,0.03,1.6,0.072,17,42,NaN,3.37,0.48,9,-13101.7233403275,186321.663693999,4
red,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,-9304.39909532189,270673.804147474,6
red,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,-10297.9295967466,201636.894396421,5
red,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,-39873.1622894604,264712.844691717,4
red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,-13679.6389771462,187488.349038279,6
red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,-46550.5846752097,203598.683951852,6
red,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,-38691.5538403523,232236.836747655,6
red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,-37190.591116842,221529.060756778,5
red,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,-5397.08989764996,274131.189092473,5
red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,-33189.029111411,211880.398709595,5
red,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,-25837.9876051374,266220.096560285,6
red,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,-15821.9073141564,263475.412189916,5
red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,-29566.8378694911,234392.769870198,5
red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,-23188.9934855037,211075.565897899,5
red,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,-34558.8723598513,206284.489600263,5
red,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,-12115.5912334781,208107.147269521,5
red,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,-40909.5506072898,213687.328625125,5
red,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,-21642.2398281599,265858.072828475,6
red,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,-31003.6365922003,232090.390189249,5
red,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,-36343.4522087193,200299.741054971,5
red,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,-16117.2947259239,217157.004940549,5
red,7.9,NaN,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,-29501.9087798542,263114.81239072,5
red,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,-33024.8719699088,202441.216716231,5
red,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,-14943.686468133,269883.453815926,5
red,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,9469.10028206529,185182.405304258,6
red,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,-31087.7016144564,201446.564158228,5
red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,-27917.3791967872,259802.229903529,5
red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,-176.28912597584,188251.234551383,5
red,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,20254.2870560518,208918.873781912,5
red,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,10176.5907683253,195005.137241819,5
red,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,8853.95043090098,203779.687168426,6
red,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,-32280.1333518788,212375.504194329,7
red,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,-31293.5923084745,263963.191395153,4
red,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,-23561.7402531435,202474.470127473,7
red,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,-36632.7733875777,207155.749244582,5
red,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,-18812.4899978159,219668.191009756,5
red,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,-24954.9022220759,245969.788948824,5
red,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,-24466.4980451021,238102.638396374,6
red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,-10513.9685079862,197184.830330819,7
red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,-40137.1166102373,228317.613589076,7
red,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,-29183.5575901696,200512.413134058,5
red,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,-10985.2735991361,192274.68145742,5
red,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,-40409.872863191,234585.972709223,7
red,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,-34000.2490527591,235090.383894626,6
red,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,-40691.0576435478,234310.156163088,6
red,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,-28016.4222752509,202218.600746725,6
red,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,-34079.6002960016,264805.821013529,5
red,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,-25372.1123531474,265688.309763557,6
red,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,13176.5985115237,208815.742612827,5
red,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,15655.85586671,203541.177993024,5
red,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,-10978.156877337,200233.084445655,5
red,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,-12019.1383941547,189193.564511863,5
red,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,-10070.4722976955,198852.677556726,5
red,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,-22140.8070869515,241192.243860593,6
red,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,-37846.7705503857,231735.406049694,5
red,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,-21078.122852111,219925.845276912,5
red,8.6,0.645,0.25,2,0.083,NaN,28,0.99815,3.28,0.6,10,11075.9838383276,189907.564257665,6
red,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,-12868.0477816372,195578.013550051,4
red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,-25638.600933551,265466.539013466,6
red,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,-33095.3404823803,211854.711673732,6
red,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,-35411.4067412125,208773.336890914,5
red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,10934.5436608205,189248.19381318,6
red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,-20080.273481615,216511.123177632,5
red,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,-19512.1126170703,213771.078489652,7
