retail client,article code,promotion type,week,year
Jumbo,873469/873470/884935/885786,regular,9,2018
Jumbo,226311,regular,9,2018
Jumbo,803337/805952,regular,9,2018
Jumbo,874729,regular,9,2018
Jumbo,872976,regular,9,2018
Jumbo,806540,regular,9,2018
Picnic,881944/881943/881945,regular,9,2018
Detailresult,259668,regular,10,2018
Detailresult,883998/999,week,10,2018
Detailresult,874991,week,10,2018
Detailresult,841822,week,10,2018
Detailresult,842422,week,10,2018
Detailresult,880683,week,10,2018
Plus,883853,weekend,10,2018
Plus,886770,weekend,10,2018
Plus,886333,weekend,10,2018
Plus,884932,week,10,2018
Plus,873045,week,10,2018
Vomar,875511,week,10,2018
Hoogvliet,812721,regular,10,2018
Jumbo,874836/874835,regular,10,2018
Jumbo,264642,regular,10,2018
Jumbo,873469/873470/884935/885786,regular,10,2018
Jumbo,226311,regular,10,2018
Jumbo,803337/805952,regular,10,2018
Jumbo,874729,regular,10,2018
Jumbo,884952,regular,10,2018
Jumbo,882669,regular,10,2018
Jumbo,882671,regular,10,2018
Jumbo,884953,regular,10,2018
Jumbo,882668,regular,10,2018
Jumbo,882670,regular,10,2018
Jumbo,819583,regular,10,2018
Jumbo, 886710 ,regular,10,2018
Plus,885326,weekend,11,2018
Plus,822184,week,11,2018
Detailresult,882104,week,11,2018
Detailresult,874991,regular,11,2018
Vomar,865387,week,11,2018
Poiesz,886698,week,11,2018
Poiesz,883731,week,11,2018
Poiesz,808658,week,11,2018
Deen,871251,weekend,11,2018
Hoogvliet,259121,regular,11,2018
Jumbo,874836/874835,regular,11,2018
Jumbo,264642,regular,11,2018
Jumbo,873469/873470/884935/885786,regular,11,2018
Jumbo,226311,regular,11,2018
Jumbo,803337/805952,regular,11,2018
Jumbo,874729,regular,11,2018
Jumbo,882666,regular,11,2018
Jumbo,882664,regular,11,2018
Jumbo,882665,regular,11,2018
Jumbo,882663,regular,11,2018
Jumbo,876252,regular,11,2018
Jumbo,883883,regular,11,2018
Jumbo,103547,regular,11,2018
Hoogvliet,812374,regular,12,2018
Plus,872928,week,12,2018
Plus,874130,week,12,2018
Detailresult,808538,week,12,2018
Boni,884961,regular,12,2018
Boni,872479,regular,12,2018
Poiesz,876384,week,12,2018
Poiesz,808658,week,12,2018
Poiesz,847259,week,12,2018
Boon,259121,regular,12,2018
Boon,808415,regular,12,2018
Boon,886224,regular,12,2018
Jumbo,874836/874835,regular,12,2018
Jumbo,805952,regular,12,2018
Jumbo,884863,regular,12,2018
Jumbo,842236,regular,12,2018
Jumbo,875731,regular,12,2018
Jumbo,886484/886485 ,regular,12,2018
Jumbo,819683,regular,12,2018
Jumbo,806540,regular,12,2018
Jumbo,886114,regular,12,2018
Detailresult,810124,week,13,2018
Detailresult,842422,week,13,2018
Detailresult,841828,week,13,2018
Detailresult,884293,week,13,2018
Detailresult,812215,week,13,2018
Detailresult,811366,week,13,2018
Coop,259668,week,13,2018
Hoogvliet,259121,regular,13,2018
Vomar,812375,week,13,2018
Plus,886560,week,13,2018
Plus,885326,weekend,13,2018
Plus,884932,week,13,2018
Plus,872196,week,13,2018
Plus,880684,week,13,2018
Poiesz,880683,week,13,2018
Poiesz,808456,week,13,2018
Poiesz,236006,week,13,2018
Smeding,259668,regular,13,2018
Smeding,876018,week,13,2018
Jan Linders,808481,week,13,2018
Jumbo,874836/874835,regular,13,2018
Jumbo,805952,regular,13,2018
Jumbo,884863,regular,13,2018
Jumbo,842236,regular,13,2018
Jumbo,875731,regular,13,2018
Jumbo,886484/886485 ,regular,13,2018
Jumbo,819683,regular,13,2018
Jumbo,882407,regular,13,2018
Jumbo,878847,regular,13,2018
Detailresult,259668,week,14,2018
Detailresult,881093,week,14,2018
Detailresult,881095,week,14,2018
Detailresult,811223,week,14,2018
Detailresult,808719,week,14,2018
Plus,805719,week,14,2018
Plus,883853,weekend,14,2018
Plus,879783,weekend,14,2018
Plus,801714,weekend,14,2018
Plus,801507,week,14,2018
Smeding,808481,regular,14,2018
Smeding,880683,regular,14,2018
Vomar,259121,week,14,2018
Coop,808719,regular,14,2018
Boni,808152,regular,14,2018
Boni,872928,regular,14,2018
Poiesz,806277,week,14,2018
Poiesz,885935,week,14,2018
Poiesz,808719,week,14,2018
Jumbo,874836/874835,regular,14,2018
Jumbo,805952,regular,14,2018
Jumbo,884863,regular,14,2018
Jumbo,842236,regular,14,2018
Jumbo,875731,regular,14,2018
Jumbo,886484/886485 ,regular,14,2018
Jumbo,819683,regular,14,2018
Jumbo,882407,regular,14,2018
Jumbo,885176,regular,14,2018
Jumbo,882671,regular,14,2018
Jumbo,882669,regular,14,2018
Jumbo,882670,regular,14,2018
Jumbo,882668,regular,14,2018
Jumbo,886970,regular,14,2018
Jumbo,884952,regular,14,2018
Jumbo,886608,regular,14,2018
Jumbo,886592,regular,14,2018
Jumbo,882666,regular,14,2018
Jumbo,882664,regular,14,2018
Jumbo,882663,regular,14,2018
Jumbo,882665,regular,14,2018
Plus,885326,week,15,2018
Plus,865387,weekend,15,2018
Plus,809786,regular,15,2018
Detailresult,808719,week,15,2018
Detailresult,887365,week,15,2018
Hoogvliet,808719,regular,15,2018
Poiesz,808456,week,15,2018
Poiesz,213836,week,15,2018
Poiesz,880683,week,15,2018
Poiesz,883731,week,15,2018
Boon,253259,week,15,2018
Smeding,808481,regular,15,2018
Jumbo,874991,regular,15,2018
Jumbo,878567,regular,15,2018
Jumbo,876268,regular,15,2018
Jumbo,876362,regular,15,2018
Jumbo,882641,regular,15,2018
Jumbo,885565/885802,regular,15,2018
Jumbo,875731,regular,15,2018
Jumbo,882671,regular,15,2018
Jumbo,882669,regular,15,2018
Jumbo,882670,regular,15,2018
Jumbo,882668,regular,15,2018
Jumbo,886970,regular,15,2018
Jumbo,884952,regular,15,2018
Jumbo,886608,regular,15,2018
Jumbo,886592,regular,15,2018
Jumbo,882666,regular,15,2018
Jumbo,882664,regular,15,2018
Jumbo,882663,regular,15,2018
Jumbo,882665,regular,15,2018
Jumbo,882407,regular,15,2018
Jumbo, 843013/842351 ,regular,15,2018
Detailresult,885853,week,16,2018
Detailresult,259668,week,16,2018
Detailresult,801773,week,16,2018
Detailresult,811366,week,16,2018
Plus,808719,week,16,2018
Plus,886731,regular,16,2018
Plus,884932,week,16,2018
Plus,872928,week,16,2018
Plus,809786,weekend,16,2018
Hoogvliet,259121,regular,16,2018
Boon,259121,regular,16,2018
Deen,881005,week,16,2018
Coop,876385,week,16,2018
Jan Linders,808481,week,16,2018
Poiesz,236004,week,16,2018
Poiesz,883731,week,16,2018
Smeding,878134,regular,16,2018
Jumbo,874991,regular,16,2018
Jumbo,878567,regular,16,2018
Jumbo,876362,regular,16,2018
Jumbo,882641,regular,16,2018
Jumbo,885565/885802,regular,16,2018
Jumbo,875731,regular,16,2018
Jumbo,882407,regular,16,2018
Jumbo,843013,regular,16,2018
Detailresult,887316,week,17,2018
Detailresult,885853,regular,17,2018
Detailresult,879990,week,17,2018
Detailresult,251673,regular,17,2018
Detailresult,811309,week,17,2018
Detailresult,806277,week,17,2018
Detailresult,876563,week,17,2018
Plus,881754,week,17,2018
Plus,801507,week,17,2018
Plus,251727,week,17,2018
Plus,885326,week,17,2018
Plus,236005,weekend,17,2018
Hoogvliet,259121,regular,17,2018
Hoogvliet,262005,regular,17,2018
Boni,872479,regular,17,2018
Poiesz,808456,week,17,2018
Poiesz,213836,week,17,2018
Poiesz,872191,week,17,2018
Poiesz,801284,week,17,2018
Poiesz,880683,week,17,2018
Jumbo,874991,regular,17,2018
Jumbo,878567,regular,17,2018
Jumbo,876362,regular,17,2018
Jumbo,882641,regular,17,2018
Jumbo,885565/885802,regular,17,2018
Jumbo,875731,regular,17,2018
Jumbo,882407,regular,17,2018
Jumbo,843013,regular,17,2018
Jumbo,819583,regular,17,2018
Jumbo,880890,regular,17,2018
Jumbo,882671,regular,17,2018
Jumbo,882669,regular,17,2018
Jumbo,882670,regular,17,2018
Jumbo,882668,regular,17,2018
Jumbo,886970,regular,17,2018
Jumbo,884952,regular,17,2018
Detailresult,259668,week,18,2018
Detailresult,887865,week,18,2018
Detailresult,813009,week,18,2018
Detailresult,879990,week,18,2018
Detailresult,811223,weekend,18,2018
Detailresult,881094,weekend,18,2018
Detailresult,881095,weekend,18,2018
Detailresult,887915,week,18,2018
Detailresult,812215,week,18,2018
Detailresult,887746+ 887747,week,18,2018
Detailresult,886706,week,18,2018
Plus,801505,week,18,2018
Plus,872928/253259,week,18,2018
Plus,872196,weekend,18,2018
Plus,874421,week,18,2018
Plus,801647,regular,18,2018
Plus,801639,weekend,18,2018
Deen,259121,regular,18,2018
Vomar,881005,week,18,2018
Boni,253259,regular,18,2018
Poiesz,811369,week,18,2018
Poiesz,867847,week,18,2018
Poiesz,801275,week,18,2018
Poiesz,236006,regular,18,2018
Jumbo,103547,regular,18,2018
Jumbo,805689,regular,18,2018
Jumbo,882581,regular,18,2018
Jumbo,226307,regular,18,2018
Jumbo,811328,regular,18,2018
Jumbo,882407,regular,18,2018
Jumbo,843013,regular,18,2018
Jumbo,842940,regular,18,2018
Detailresult,887436,regular,19,2018
Detailresult,819962,week,19,2018
Detailresult,811309,week,19,2018
Detailresult,806278,week,19,2018
Detailresult,878482,week,19,2018
Plus,887881,week,19,2018
Plus,803583,week,19,2018
Plus,887583,weekend,19,2018
Plus,236005,week,19,2018
Plus,809786,week,19,2018
Smeding,876565,regular,19,2018
Hoogvliet,881005,regular,19,2018
Hoogvliet,200220,regular,19,2018
Hoogvliet,259121,regular,19,2018
Boni,262005,regular,19,2018
Poiesz,808456,week,19,2018
Poiesz,802139,week,19,2018
Poiesz,880683,week,19,2018
Jumbo,882581,regular,19,2018
Jumbo,226307,regular,19,2018
Jumbo,811328,regular,19,2018
Jumbo,882407,regular,19,2018
Jumbo,843013,regular,19,2018
Jumbo,842125,regular,19,2018
Jumbo,882671,regular,19,2018
Jumbo,882669,regular,19,2018
Jumbo,882670,regular,19,2018
Jumbo,882668,regular,19,2018
Jumbo,886970,regular,19,2018
Jumbo,884952,regular,19,2018
Jumbo,886608,regular,19,2018
Jumbo,886592,regular,19,2018
Jumbo,882664,regular,19,2018
Jumbo,882663,regular,19,2018
Jumbo,882665,regular,19,2018
Plus ,259668,week,20,2018
Plus ,801509,week,20,2018
Plus ,887864,weekend,20,2018
Plus ,888295,weekend,20,2018
Plus ,888291,weekend,20,2018
Plus,200220/809786,week,20,2018
Plus,888326,week,20,2018
Hoogvliet,814636,regular,20,2018
Deen,814636,week,20,2018
Smeding,876565,regular,20,2018
Detailresult,811223,week,20,2018
Detailresult,885853,week,20,2018
Detailresult,236005,week,20,2018
Detailresult,801773,week,20,2018
Boni,888909,regular,20,2018
Vomar,253259,week,20,2018
Boon,253259,week,20,2018
Boon,259121,week,20,2018
Poiesz,213836,week,20,2018
Poiesz,801275,week,20,2018
Poiesz,805752,week,20,2018
Poiesz,808456,week,20,2018
Poiesz,236005,week,20,2018
Poiesz,888746,week,20,2018
Poiesz,812742,week,20,2018
Jumbo,882581,regular,20,2018
Jumbo,226307,regular,20,2018
Jumbo,811328,regular,20,2018
Jumbo,882407,regular,20,2018
Jumbo,843013,regular,20,2018
Jumbo,882671,regular,20,2018
Jumbo,882669,regular,20,2018
Jumbo,882670,regular,20,2018
Jumbo,882668,regular,20,2018
Jumbo,886970,regular,20,2018
Jumbo,884952,regular,20,2018
Jumbo,886608,regular,20,2018
Jumbo,886592,regular,20,2018
Jumbo,882664,regular,20,2018
Jumbo,882663,regular,20,2018
Jumbo,882665,regular,20,2018
Plus ,251727,week,21,2018
Plus ,887583,week,21,2018
Plus ,888261,week,21,2018
Plus ,888260,week,21,2018
Plus ,888262,week,21,2018
Plus ,236005+236004,week,21,2018
Plus ,801639,week,21,2018
Plus,887881,weekend,21,2018
Detailresult,887865,week,21,2018
Detailresult,813009,week,21,2018
Detailresult,887746+ 887747,week,21,2018
Detailresult,801773,regular,21,2018
Detailresult,806278,week,21,2018
Detailresult,811309,week,21,2018
Detailresult,876266,week,21,2018
Detailresult,814636,week,21,2018
Detailresult,887915,week,21,2018
Detailresult,885853,week,21,2018
Vomar,259121,week,21,2018
Boni,814312,regular,21,2018
Smeding,808389,regular,21,2018
Jumbo,882581,regular,21,2018
Jumbo,226307,regular,21,2018
Jumbo,811328,regular,21,2018
Jumbo,882407,regular,21,2018
Jumbo,843013,regular,21,2018
Jumbo,874729,regular,21,2018
Jumbo,819583,regular,21,2018
Detailresult,259668,week,22,2018
Detailresult,814636,week,22,2018
Detailresult,811366,week,22,2018
Detailresult,811309,week,22,2018
Detailresult,887915,week,22,2018
Detailresult,806278,regular,22,2018
Plus ,801639,week,22,2018
Plus ,801505,week,22,2018
Plus ,803339,weekend,22,2018
Plus ,253259,week,22,2018
Deen,262005,week,22,2018
Hoogvliet,259121,regular,22,2018
Coop,876385,week,22,2018
Vomar,814313,week,22,2018
Boon,814312,week,22,2018
Boni,884961,regular,22,2018
Poiesz,801275,week,22,2018
Poiesz,814313,week,22,2018
Poiesz,808557,week,22,2018
Poiesz,808456,week,22,2018
Poiesz,880683,week,22,2018
Poiesz,236005,week,22,2018
Poiesz,806277,week,22,2018
Jumbo,878480,regular,22,2018
Jumbo,808866,regular,22,2018
Jumbo,201117,regular,22,2018
Jumbo,808251,regular,22,2018
Jumbo,888488/888489/888490,regular,22,2018
Jumbo,805951,regular,22,2018
Jumbo,875731,regular,22,2018
Jumbo,813599,regular,22,2018
Jumbo,882407,regular,22,2018
Jumbo,876263,regular,22,2018
Plus,251727,week,23,2018
Plus,881754,week,23,2018
Plus,874421,week,23,2018
Plus,884932,weekend,23,2018
Plus,262781,week,23,2018
Plus,878486,week,23,2018
Plus,801647,week,23,2018
Plus,236004+236005,regular,23,2018
Coop,888254,week,23,2018
Deen,814636,week,23,2018
Deen,808406,week,23,2018
DRG,259668,regular,23,2018
DRG,801773,week,23,2018
DRG,887436,weekend,23,2018
Smeding,807905,regular,23,2018
Smeding,878134,regular,23,2018
Smeding,810561,regular,23,2018
Smeding,876358,regular,23,2018
Vomar,262005,week,23,2018
Vomar,253259,week,23,2018
Vomar,878994,week,23,2018
Boni,888909,regular,23,2018
Hoogvliet,814636,regular,23,2018
Hoogvliet,807905,regular,23,2018
Poiesz,811369,week,23,2018
Poiesz,880683,week,23,2018
Boon,838525,week,23,2018
Jumbo,878480,regular,23,2018
Jumbo,808866,regular,23,2018
Jumbo,201117,regular,23,2018
Jumbo,808251,regular,23,2018
Jumbo,888488/888489/888490,regular,23,2018
Jumbo,805951,regular,23,2018
Jumbo,875731,regular,23,2018
Jumbo,813599,regular,23,2018
Jumbo,882407,regular,23,2018
Jumbo,872131,regular,23,2018
Jumbo,833380,regular,23,2018
Detailresult,876563,week,24,2018
Detailresult,889406,week,24,2018
Detailresult,0.64,week,24,2018
Detailresult,887915,week,24,2018
Detailresult,811309,week,24,2018
Detailresult,885853,week,24,2018
Plus,878486,week,24,2018
Plus,887583,week,24,2018
Plus,801647,week,24,2018
Plus ,801505,week,24,2018
Plus ,876364,weekend,24,2018
Plus ,876379,weekend,24,2018
Plus ,801204,weekend,24,2018
Vomar,807906,week,24,2018
Linders,814312,week,24,2018
Boni,807905,regular,24,2018
Boni,814312,regular,24,2018
Boni,213743,regular,24,2018
Poiesz,801340,week,24,2018
Poiesz,808456,week,24,2018
Poiesz,807906,week,24,2018
Poiesz,814313,week,24,2018
Poiesz,883718,week,24,2018
Poiesz,887311,week,24,2018
Hoogvliet,805706,regular,24,2018
Hoogvliet,259121,regular,24,2018
Jumbo,878480,regular,24,2018
Jumbo,808866,regular,24,2018
Jumbo,201117,regular,24,2018
Jumbo,808251,regular,24,2018
Jumbo,888488/888489/888490,regular,24,2018
Jumbo,805951,regular,24,2018
Jumbo,875731,regular,24,2018
Jumbo,813599,regular,24,2018
Jumbo,882407,regular,24,2018
Jumbo,882671,regular,24,2018
Jumbo,882669,regular,24,2018
Jumbo,882670,regular,24,2018
Jumbo,882668,regular,24,2018
Jumbo,886970,regular,24,2018
Jumbo,884952,regular,24,2018
Jumbo,886608,regular,24,2018
Jumbo,886592,regular,24,2018
Jumbo,882664,regular,24,2018
Jumbo,882663,regular,24,2018
Jumbo,882665,regular,24,2018
Jumbo,842940,regular,24,2018
Jumbo,"817963, 887931",regular,24,2018
Plus,887864,week,25,2018
Plus,888287,week,25,2018
Plus,888295,week,25,2018
Plus,259668,week,25,2018
Plus,213743,week,25,2018
Plus,262781,regular,25,2018
Hoogvliet,262005,regular,25,2018
Detailresult,213743,week,25,2018
Detailresult,813009,week,25,2018
Detailresult,878994,week,25,2018
Detailresult,887915,week,25,2018
Detailresult,812215,week,25,2018
Smeding,876565,regular,25,2018
Coop,259668,week,25,2018
Coop,807906,week,25,2018
Deen,808406,week,25,2018
Poiesz,808456,week,25,2018
Poiesz,823331,week,25,2018
Poiesz,861800,week,25,2018
Poiesz,808658,week,25,2018
Boon,805981,week,25,2018
Jumbo,878480,regular,25,2018
Jumbo,808866,regular,25,2018
Jumbo,201117,regular,25,2018
Jumbo,808251,regular,25,2018
Jumbo,888488/888489/888490,regular,25,2018
Jumbo,805951,regular,25,2018
Jumbo,875731,regular,25,2018
Jumbo,813599,regular,25,2018
Jumbo,882407,regular,25,2018
Jumbo,882671,regular,25,2018
Jumbo,882669,regular,25,2018
Jumbo,882670,regular,25,2018
Jumbo,882668,regular,25,2018
Jumbo,886970,regular,25,2018
Jumbo,884952,regular,25,2018
Jumbo,886608,regular,25,2018
Jumbo,886592,regular,25,2018
Jumbo,882664,regular,25,2018
Jumbo,882663,regular,25,2018
Jumbo,882665,regular,25,2018
Jumbo,878307,regular,25,2018
Jumbo,234357,regular,25,2018
Jumbo,234354,regular,25,2018
Detailresult,259668,week,26,2018
Detailresult,876563,week,26,2018
Detailresult,819962,week,26,2018
Detailresult,879143,week,26,2018
Detailresult,822964,week,26,2018
Detailresult,887747/887746,week,26,2018
Plus,887848,week,26,2018
Plus,888121,week,26,2018
Plus,803281,weekend,26,2018
Plus,887583,week,26,2018
Plus,801507,week,26,2018
Plus,879620,weekend,26,2018
Plus,879618,weekend,26,2018
Plus,879621,weekend,26,2018
Plus,879622,weekend,26,2018
Plus,879619,weekend,26,2018
Plus,887881,weekend,26,2018
Plus,801526,regular,26,2018
Plus,878486,week,26,2018
Jan Linders,814312,week,26,2018
Hoogvliet,259121,regular,26,2018
Vomar,262005,week,26,2018
Vomar,822964,week,26,2018
Vomar,878994,week,26,2018
Deen,822964,week,26,2018
Poiesz,880683,week,26,2018
Jumbo,803331,regular,26,2018
Jumbo,879327,regular,26,2018
Jumbo,813599,regular,26,2018
Jumbo,879252,regular,26,2018
Jumbo,815464,regular,26,2018
Jumbo,888881,regular,26,2018
Jumbo,817963/887931,regular,26,2018
Jumbo,802139,regular,26,2018
Jumbo,842940,regular,26,2018
Jumbo,103547,regular,26,2018
Plus,890214,week,27,2018
Plus,890069,week,27,2018
Plus,812215,week,27,2018
Plus,888380,week,27,2018
Plus,888287,week,27,2018
Plus,889005,week,27,2018
Plus,888295,week,27,2018
Plus,884932,week,27,2018
Plus,889905,week,27,2018
Plus,801647,regular,27,2018
Plus,802012,weekend,27,2018
Plus,888261,weekend,27,2018
Detailresult,811309,week,27,2018
Detailresult,878994,week,27,2018
Detailresult,801773,week,27,2018
Detailresult,876563,week,27,2018
Detailresult,879143,week,27,2018
Detailresult,878805,week,27,2018
Detailresult,811223,week,27,2018
Detailresult,881095,week,27,2018
Detailresult,881094,week,27,2018
Detailresult,888974,week,27,2018
Detailresult,814636,week,27,2018
Detailresult,878725,week,27,2018
Vomar,807685,week,27,2018
Poeisz,880235,week,27,2018
Poeisz,801920,week,27,2018
Poiesz,863672,week,27,2018
Poeisz,878994,week,27,2018
Poeisz,880683,week,27,2018
Poiesz,213836,week,27,2018
Deen,814636,week,27,2018
Boni,807905,regular,27,2018
Boni,814312,regular,27,2018
Hoogvliet,863830,regular,27,2018
Hoogvliet,863847,regular,27,2018
Hoogvliet,864763,regular,27,2018
Hoogvliet,879830,regular,27,2018
Coop,841878,regular,27,2018
Jumbo,803331,regular,27,2018
Jumbo,879327,regular,27,2018
Jumbo,813599,regular,27,2018
Jumbo,879252,regular,27,2018
Jumbo,815464,regular,27,2018
Jumbo,888881,regular,27,2018
Jumbo,817963/887931,regular,27,2018
Jumbo,879165,regular,27,2018
Detailresult,888164,week,28,2018
Detailresult,885853,week,28,2018
Detailresult,822964,week,28,2018
Detailresult,812215,week,28,2018
Detailresult,213743,week,28,2018
Detailresult,888866,week,28,2018
Detailresult,888974,week,28,2018
Detailresult,814636,week,28,2018
Detailresult,878725,week,28,2018
Hoogvliet,807905,regular,28,2018
Hoogvliet,814636,regular,28,2018
Hoogvliet,878807,regular,28,2018
Jumbo,842236,regular,28,2018
Jumbo,803331,regular,28,2018
Jumbo,879327,regular,28,2018
Jumbo,813599,regular,28,2018
Jumbo,879252,regular,28,2018
Jumbo,815464,regular,28,2018
Jumbo,888881,regular,28,2018
Jumbo,817963/887931,regular,28,2018
Jumbo,28,regular,28,2018
Smeding,807905,regular,28,2018
Plus,879620,week,28,2018
Plus,879618,week,28,2018
Plus,879621,week,28,2018
Plus,879622,week,28,2018
Plus,879619,week,28,2018
Plus,890069,week,28,2018
Plus,812215,week,28,2018
Plus,803281,week,28,2018
Plus ,801505,weekend,28,2018
Plus ,873615,weekend,28,2018
Plus,887848,week,28,2018
Plus,888116,week,28,2018
Vomar,807906,week,28,2018
Poiesz,807906,week,28,2018
Poiesz,814313,week,28,2018
Poeisz,880235,week,28,2018
Poeisz,880889,week,28,2018
Deen,259121,week,28,2018
Plus,888380,week,29,2018
Plus,886731,week,29,2018
Plus,889457,week,29,2018
Plus,889905,weekend,29,2018
Plus,878805,week,29,2018
Plus,803339,week,29,2018
Plus,802623,week,29,2018
Plus,802315,week,29,2018
Plus,882187,week,29,2018
